Title,Release Year,Locations,Production Company,Latitude,Longitude,FormattedAddress
180,2011,Epic Roasthouse (399 Embarcadero),SPI Cinemas,0,0,
180,2011,Mason & California Streets (Nob Hill),SPI Cinemas,37.791549,-122.4107938,"Mason St & Nob Hill Pl, San Francisco, CA 94108, USA"
180,2011,Justin Herman Plaza,SPI Cinemas,0,0,
180,2011,200 block Market Street,SPI Cinemas,37.7931217,-122.3965472,"200 Market St, San Francisco, CA 94111, USA"
180,2011,City Hall,SPI Cinemas,37.7792597,-122.4192646,"San Francisco City Hall, 1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102, USA"
180,2011,Polk & Larkin Streets,SPI Cinemas,37.790797,-122.4190635,"California St & Larkin St, San Francisco, CA 94109, USA"
180,2011,Randall Museum,SPI Cinemas,0,0,
180,2011,555 Market St.,SPI Cinemas,37.789999,-122.3999088,"555 Market St, San Francisco, CA 94105, USA"
24 Hours on Craigslist,2005,,Yerba Buena Productions,0,0,
40 Days and 40 Nights,2002,"The Walden House, Buena Vista Park",Miramax Films,37.7684046,-122.4414145,"Buena Vista Park, Buena Vista & Haight Street, San Francisco, CA 94117, USA"
40 Days and 40 Nights,2002,Cafթ Trieste (609 Vallejo),Miramax Films,0,0,
48 Hours,1982,,Paramount Pictures,0,0,
50 First Dates,2004,Rainforest Cafթ (145 Jefferson Street),Columbia Pictures Corporation,0,0,
A Jitney Elopement,1915,20th and Folsom Streets,The Essanay Film Manufacturing Company,37.7589107,-122.4147198,"Folsom St & 20th St, San Francisco, CA 94110, USA"
A Jitney Elopement,1915,Golden Gate Park,The Essanay Film Manufacturing Company,37.7694208,-122.4862138,"Golden Gate Park, San Francisco, CA 94122, USA"
A Night Full of Rain,1978,Embarcadero Freeway,Liberty Film,37.7489402,-122.3928481,"Southern Embarcadero Fwy, San Francisco, CA, USA"
A Night Full of Rain,1978,"Fairmont Hotel (950 Mason Street, Nob Hill)",Liberty Film,0,0,
A Night Full of Rain,1978,San Francisco Chronicle (901 Mission Street at 15th Street),Liberty Film,0,0,
A Night Full of Rain,1978,Broadway (North Beach),Liberty Film,37.7984385,-122.4022479,"Broadway, San Francisco, CA, USA"
A Smile Like Yours,1997,75 California Street,Paramount Pictures,37.7935632,-122.3973351,"75 California St, San Francisco, CA 94111, USA"
A Smile Like Yours,1997,Grace Cathedral Episcopal Church (1100 California Street),Paramount Pictures,0,0,
A Smile Like Yours,1997,Hills Brothers Plaza (Embarcadero at Harrison Street),Paramount Pictures,0,0,
A Smile Like Yours,1997,San Francisco International Airport,Paramount Pictures,37.6213129,-122.3789554,"San Francisco International Airport, San Francisco, CA 94128, USA"
A View to a Kill,1985,City Hall,Metro-Goldwyn Mayer,37.7792597,-122.4192646,"San Francisco City Hall, 1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102, USA"
A View to a Kill,1985,Port of San Francisco,Metro-Goldwyn Mayer,37.7968374,-122.3950767,"Port Of San Francisco, Pier 1 The Embarcadero, San Francisco, CA 94111, USA"
Ant-Man,2015,420 Jones St. at Ellis St.,"PYM Particles Productions, LLC",37.7851232,-122.4126633,"420 Jones St, San Francisco, CA 94102, USA"
A View to a Kill,1985,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)",Metro-Goldwyn Mayer,0,0,
A View to a Kill,1985,Golden Gate Bridge,Metro-Goldwyn Mayer,37.8199286,-122.4782551,"Golden Gate Bridge, San Francisco, CA, USA"
A View to a Kill,1985,Embarcadero Freeway,Metro-Goldwyn Mayer,37.7489402,-122.3928481,"Southern Embarcadero Fwy, San Francisco, CA, USA"
A View to a Kill,1985,Potrero Hill,Metro-Goldwyn Mayer,37.7604929,-122.400869,"Potrero Hill, San Francisco, CA, USA"
A View to a Kill,1985,City Hall,Metro-Goldwyn Mayer,37.7792597,-122.4192646,"San Francisco City Hall, 1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102, USA"
A View to a Kill,1985,Chinatown,Metro-Goldwyn Mayer,37.7941378,-122.4077914,"Chinatown, San Francisco, CA, USA"
A View to a Kill,1985,"Burger Island (901 3rd Street, China Basin)",Metro-Goldwyn Mayer,0,0,
A View to a Kill,1985,Van Ness Avenue,Metro-Goldwyn Mayer,37.7913054,-122.4226118,"Van Ness Ave, San Francisco, CA, USA"
A View to a Kill,1985,Taylor and Jefferson Streets (Fisherman's Wharf),Metro-Goldwyn Mayer,37.8082214,-122.4158081,"Taylor St & Jefferson St, San Francisco, CA 94133, USA"
About a Boy,2014,Broderick from Fulton to McAlister,NBC Studios,0,0,
About a Boy,2014,Crissy Field,NBC Studios,37.8039069,-122.4640618,"Crissy Field, San Francisco, CA 94129, USA"
About a Boy,2014,Powell from Bush and Sutter,NBC Studios,37.7902976,-122.4090585,"Prado 704 Bush LLC, 704 Bush St, San Francisco, CA 94108, USA"
After the Thin Man,1936,Coit Tower,Metro-Goldwyn Mayer,37.8023949,-122.4058222,"Coit Tower, 1 Telegraph Hill Blvd, San Francisco, CA 94133, USA"
Age of Adaline,2015,Pier 50- end of the pier,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,37.7739341,-122.3848875,"Pier 50, San Francisco, CA 94158, USA"
Age of Adaline,2015,California @ Montgomery,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,37.7928648,-122.40279,"California St & Montgomery St, San Francisco, CA 94104, USA"
Age of Adaline,2015,Montgomery/Green,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,37.800247,-122.4590343,"Montgomery St, San Francisco, CA 94129, USA"
Age of Adaline,2015,Driving various SF Streets,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,0,0,
Age of Adaline,2015,Plate Shots SF streets various,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,0,0,
Alcatraz,2012,Filbert St. from Jones to Mason,Bonanza Productions Inc.,0,0,
Alcatraz,2012,Leavenworth from Filbert & Francisco St,Bonanza Productions Inc.,0,0,
Alcatraz,2012,Chestnut St. from Larkin to Columbus,Bonanza Productions Inc.,0,0,
Alcatraz,2012,Francisco St from Larkin to Polk,Bonanza Productions Inc.,0,0,
Alcatraz,2012,Broadway from Mason to Taylor,Bonanza Productions Inc.,37.7960949,-122.4133919,"Taylor St, San Francisco, CA, USA"
Alcatraz,2012,Taylor St. from Broadway to Filbert,Bonanza Productions Inc.,0,0,
Ant-Man,2015,Broadway between Powell and Davis,"PYM Particles Productions, LLC",0,0,
Alexander's Ragtime Band,1938,Cliff House (1090 Point Lobos Avenue),Twentieth Century Fox Film Corporation,0,0,
Alexander's Ragtime Band,1938,San Francisco Bay,Twentieth Century Fox Film Corporation,37.7749295,-122.4194155,"San Francisco, CA, USA"
Alexander's Ragtime Band,1938,"Fairmont Hotel (950 Mason Street, Nob Hill)",Twentieth Century Fox Film Corporation,0,0,
All About Eve,1950,Curran Theater (445 Geary Street),Twentieth Century Fox Film Corp.,0,0,
American Graffiti,1973,"Mel's Drive-In (Corner of Van Ness & Mission Street, Mission District)",Universal Pictures,0,0,
American Graffiti,1973,3355 Geary Blvd.,Universal Pictures,37.7811314,-122.4548989,"3355 Geary Blvd, San Francisco, CA 94118, USA"
American Yearbook,2004,,All Planet Studios,0,0,
Americana,2015,St. Francis Episcopal Church (399 San Fernando Way),Sutro Films LLC,0,0,
Americana,2015,Romolo Place @ Fresno St.,Sutro Films LLC,37.7986013,-122.4063965,"Romolo Pl & Fresno St, San Francisco, CA 94133, USA"
Americana,2015,Palace of Fine Arts,Sutro Films LLC,0,0,
Americana,2015,John Shelley Drive John McLaren Park,Sutro Films LLC,37.719309,-122.4193742,"John McLaren Park, 100 John F Shelley Dr, San Francisco, CA 94134, USA"
Americana,2015,Treasure Island,Sutro Films LLC,37.8235515,-122.370648,"Treasure Island, San Francisco, CA, USA"
Americana,2015,The San Francisco School (300 Gavin St.),Sutro Films LLC,37.7327817,-122.4113534,"The San Francisco School, 300 Gaven St, San Francisco, CA 94134, USA"
Americana,2015,33 Spruce St,Sutro Films LLC,37.7903215,-122.4543691,"33 Spruce St, San Francisco, CA 94118, USA"
Americana,2015,Coi Restaurant (373 Broadway),Sutro Films LLC,0,0,
Americana,2015,Foreign Cinema (2534 Mission),Sutro Films LLC,0,0,
Americana,2015,Bernal Heights Park,Sutro Films LLC,0,0,
Americana,2015,Jackson St. at Spruce,Sutro Films LLC,37.7899861,-122.4541352,"Jackson St & Spruce St, San Francisco, CA 94118, USA"
Americana,2015,679 Madrid St,Sutro Films LLC,37.718722,-122.434653,"679 Madrid St, San Francisco, CA 94112, USA"
Americana,2015,Roxie Theater (3117 16th St.),Sutro Films LLC,0,0,
Americana,2015,Variety Preview Room (582 Market St.),Sutro Films LLC,0,0,
Americana,2015,Laguna Honda Hospital; 375 Laguna Honda Blvd.,Sutro Films LLC,0,0,
Americana,2015,3232 Jackson Ave.,Sutro Films LLC,37.790931,-122.448797,"3232 Jackson St, San Francisco, CA 94118, USA"
Americana,2015,20th St and Illinois/Faxon St. and Kenwood/Glenbrook at Mt. Springs,Sutro Films LLC,0,0,
Another 48 Hours,1990,,Eddie Murphy Productions,0,0,
Ant-Man,2015,Conzelman Rd at McCollough Rd and down Conzelman Rd.,"PYM Particles Productions, LLC",37.8277082,-122.4996353,"Hawk Hill, Conzelman Rd, Sausalito, CA 94965, USA"
Ant-Man,2015,Lombard at Hyde,"PYM Particles Productions, LLC",37.8020045,-122.4196371,"Lombard St & Hyde St, San Francisco, CA 94109, USA"
Ant-Man,2015,601 Buena Vista Ave West at Java St.,"PYM Particles Productions, LLC",37.7669535,-122.4439685,"601 Buena Vista Ave W, San Francisco, CA 94117, USA"
Ant-Man,2015,Columbus between Bay and Washington,"PYM Particles Productions, LLC",0,0,
Ant-Man,2015,California between Kearney and Davis,"PYM Particles Productions, LLC",0,0,
Ant-Man,2015,Pine between Kearney and Davis,"PYM Particles Productions, LLC",0,0,
Ant-Man,2015,Market between Stuart and Van Ness,"PYM Particles Productions, LLC",37.7876564,-122.4229813,"John Stewart Co, 1388 Sutter St #11, San Francisco, CA 94109, USA"
Ant-Man,2015,Grant between Bush and Broadway,"PYM Particles Productions, LLC",0,0,
Ant-Man,2015,Intersection of Broadway at Kearney,"PYM Particles Productions, LLC",37.7980203,-122.4055234,"San Francisco, CA 94133, USA"
Ant-Man,2015,Intersection of California at Polk,"PYM Particles Productions, LLC",37.7905896,-122.4206988,"California St & Polk St, San Francisco, CA 94109, USA"
Ant-Man,2015,"Treasure Island, Building #1, Ave of the Palms","PYM Particles Productions, LLC",0,0,
Around the Fire,1998,Ocean Beach,Paradigm Studio,37.7593921,-122.510734,"Ocean Beach, San Francisco, CA, USA"
Attack of the Killer Tomatoes,1978,Hyde Street Cable Car,Four Square Productions,0,0,
Babies,2010,,Canal+,0,0,
Bar Rescue,2016,Fort 1,Bongo LLC,0,0,
Bar Rescue - Season 4 Ep 18,2015,"The Holding Company (now called Patriot House Pub), 2 Embarcadero Ctr, San Francisco, CA 94111",Bongo LLC,0,0,
Bar Rescue - Season 4 Ep 21,2015,"Park 77 (now called The Lister Bar), 77 Cambon Dr, San Francisco, CA 94132",Bongo LLC,0,0,
